x, y, th, sec, nanosec, 
-1.9999398983842258,-0.5000009975868928,7.189352286146796e-07,45,153000000,
-1.9999399008887744,-0.5000009975850834,7.193519783460905e-07,45,187000000,
-1.9999398943873576,-0.5000009975641732,7.198094397436306e-07,45,221000000,
-1.9999398776136676,-0.5000009975151076,7.202846482183514e-07,45,255000000,
-1.998785310115604,-0.5000010009118964,1.269900294602891e-06,45,289000000,
-1.9964750253224113,-0.5000010050178982,1.5629418185958847e-06,45,323000000,
-1.9930094211287555,-0.5000010113391093,1.3925652392116534e-06,45,357000000,
-1.9883883599628502,-0.5000010165532793,1.4146222103951968e-06,45,391000000,
-1.9826118321472566,-0.5000010201246644,1.587787089635379e-06,45,425000000,
-1.9756798309438963,-0.5000010245939193,1.6195784401619907e-06,45,459000000,
-1.9675923522885967,-0.5000010261726774,1.632650409090122e-06,45,493000000,
-1.9590965449498412,-0.5000010237134235,1.5192983456991768e-06,45,527000000,
-1.950600487270095,-0.5000010181905197,1.4397679325381983e-06,45,561000000,
-1.9421040345743756,-0.5000010103081322,1.542163451239868e-06,45,595000000,
-1.9336071872583143,-0.5000010020553927,1.6144174045738023e-06,45,629000000,
-1.9251099474664788,-0.5000009912726892,1.6315922306902253e-06,45,663000000,
-1.9166123177623264,-0.5000009748182584,1.6774717010193773e-06,45,697000000,
-1.9081143002446221,-0.5000009547069139,1.716053022483594e-06,45,731000000,
-1.8996158971121502,-0.5000009344597753,1.7338519239393424e-06,45,765000000,
-1.891117110800001,-0.5000009141289187,1.7803172784165625e-06,45,799000000,
-1.8826179435112667,-0.5000008919813951,1.8460540397676128e-06,45,833000000,
-1.874118397382666,-0.500000867478679,1.8896685382476105e-06,45,867000000,
-1.8656184756142806,-0.50000084181554,1.9190697487927804e-06,45,901000000,
-1.8571181834452817,-0.5000008158194146,1.9618320804440595e-06,45,935000000,
-1.8486175195193524,-0.500000789326821,2.015142185944497e-06,45,969000000,
-1.840116486300874,-0.500000762712241,2.0611045491920456e-06,46,3000000,
-1.831615086303748,-0.5000007363764146,2.1044964018169018e-06,46,37000000,
-1.8231133219743374,-0.5000007104392393,2.154038902205993e-06,46,71000000,
-1.8146111957745243,-0.5000006849473668,2.205001480688552e-06,46,105000000,
-1.8061087101190316,-0.5000006601515422,2.2537452043732758e-06,46,139000000,
-1.7976058674320536,-0.5000006364459024,2.3037270376360512e-06,46,173000000,
-1.7891026701726198,-0.5000006141840759,2.3560785937554775e-06,46,207000000,
-1.7805991207377911,-0.5000005936273393,2.408591950571811e-06,46,241000000,
-1.772095221626185,-0.500000574932197,2.4610874142575415e-06,46,275000000,
-1.7635909752823145,-0.5000005581847419,2.5146797286038417e-06,46,309000000,
-1.7550863841221422,-0.5000005435691001,2.569072066944539e-06,46,343000000,
-1.7465814506467923,-0.5000005314421677,2.6236923114382897e-06,46,377000000,
-1.7380761774438005,-0.5000005221884302,2.6789204952754363e-06,46,411000000,
-1.7295706888242792,-0.5000005173418631,2.5671048851390504e-06,46,445000000,
-1.7210660351894425,-0.500000519972152,2.332313279091804e-06,46,479000000,
-1.7125625013561705,-0.5000005285930471,2.2813288608073373e-06,46,513000000,
-1.7040601786517924,-0.5000005387321329,2.391273025513191e-06,46,547000000,
-1.6955590577694741,-0.5000005492142332,2.401986358258409e-06,46,581000000,
-1.6870591386302796,-0.5000005612861304,2.3425232240263215e-06,46,615000000,
-1.6785604217263446,-0.5000005740146183,2.351488541595364e-06,46,649000000,
-1.6700629068873787,-0.5000005854310964,2.3775813710137607e-06,46,683000000,
-1.6615665878250652,-0.5000005947302308,2.381778019890907e-06,46,717000000,
-1.653071150658824,-0.5000005995899035,2.5576218582315417e-06,46,751000000,
-1.6445757389382314,-0.5000005972623759,2.796673713177557e-06,46,785000000,
-1.6360800110222227,-0.5000005888459446,2.8948575382768073e-06,46,819000000,
-1.6275838618330232,-0.5000005779130495,2.8553335082772407e-06,46,853000000,
-1.6190873157387327,-0.5000005629049593,2.879407385985195e-06,46,887000000,
-1.610590377925418,-0.5000005443598579,2.950704349045525e-06,46,921000000,
