x, y, th, stamp, 
-0.8516169884221644,-0.4999835554809953,-4.939596501794748e-06,builtin_interfaces.msg.Time(sec=4, nanosec=200000000),
-0.8176194374795653,-0.49998313837429437,-5.2812600238050905e-06,builtin_interfaces.msg.Time(sec=4, nanosec=234000000),
-0.7836207278010876,-0.4999827419148807,-5.627646326058678e-06,builtin_interfaces.msg.Time(sec=4, nanosec=268000000),
-0.7496208528922622,-0.49998239283683427,-5.969348254908989e-06,builtin_interfaces.msg.Time(sec=4, nanosec=302000000),
-0.7156198117424047,-0.4999820793640917,-6.285317271836461e-06,builtin_interfaces.msg.Time(sec=4, nanosec=336000000),
-0.681617604543084,-0.4999817907077678,-6.576370349464223e-06,builtin_interfaces.msg.Time(sec=4, nanosec=370000000),
-0.6476142399734699,-0.4999815490977823,-6.850150308986483e-06,builtin_interfaces.msg.Time(sec=4, nanosec=404000000),
-0.6136097332833732,-0.4999813438777904,-7.107124920671189e-06,builtin_interfaces.msg.Time(sec=4, nanosec=438000000),
-0.5796040991680591,-0.49998116467169756,-7.347032935396969e-06,builtin_interfaces.msg.Time(sec=4, nanosec=472000000),
-0.545597361774399,-0.4999810323682313,-7.56346627600089e-06,builtin_interfaces.msg.Time(sec=4, nanosec=506000000),
-0.5115895498875097,-0.49998093877614674,-7.749756943401713e-06,builtin_interfaces.msg.Time(sec=4, nanosec=540000000),
-0.47758069015127563,-0.4999808726257707,-7.911073712189906e-06,builtin_interfaces.msg.Time(sec=4, nanosec=574000000),
-0.4435702246250956,-0.49998083495168477,-7.4765768494515676e-06,builtin_interfaces.msg.Time(sec=4, nanosec=608000000),
-0.4095593445358489,-0.49998080615750873,-7.561670026395316e-06,builtin_interfaces.msg.Time(sec=4, nanosec=642000000),
-0.3755475438378124,-0.49998083416011757,-8.185419799697526e-06,builtin_interfaces.msg.Time(sec=4, nanosec=676000000),
-0.3415348579858373,-0.49998090554550106,-8.076912021068969e-06,builtin_interfaces.msg.Time(sec=4, nanosec=710000000),
-0.3075213278651764,-0.4999810032982732,-7.893787057932175e-06,builtin_interfaces.msg.Time(sec=4, nanosec=744000000),
-0.2735069917227315,-0.49998113882995177,-8.020966879143197e-06,builtin_interfaces.msg.Time(sec=4, nanosec=778000000),
-0.23949189770727602,-0.4999813139874342,-8.020371243503488e-06,builtin_interfaces.msg.Time(sec=4, nanosec=812000000),
-0.20547608885512184,-0.4999815166693555,-7.91071264353767e-06,builtin_interfaces.msg.Time(sec=4, nanosec=846000000),
-0.17145959724827578,-0.49998175418087726,-7.92358712167977e-06,builtin_interfaces.msg.Time(sec=4, nanosec=880000000),
-0.13744240257605347,-0.49998203817672987,-7.922926593076054e-06,builtin_interfaces.msg.Time(sec=4, nanosec=914000000),
-0.10342480121637307,-0.49998236153113945,-7.808682615372995e-06,builtin_interfaces.msg.Time(sec=4, nanosec=948000000),
-0.06940913116565026,-0.49998271947652845,-7.751891791244777e-06,builtin_interfaces.msg.Time(sec=4, nanosec=982000000),
-0.03539322870817309,-0.49998311992332295,-7.709717142185126e-06,builtin_interfaces.msg.Time(sec=5, nanosec=16000000),
-0.001377048721928524,-0.4999835619834167,-7.615869494951103e-06,builtin_interfaces.msg.Time(sec=5, nanosec=50000000),
0.03263940770193354,-0.49998404368987265,-7.5265748869167554e-06,builtin_interfaces.msg.Time(sec=5, nanosec=84000000),
0.06665613648284814,-0.4999845682964949,-7.463792629024762e-06,builtin_interfaces.msg.Time(sec=5, nanosec=118000000),
0.1006731342833673,-0.4999851369547088,-7.389543685773364e-06,builtin_interfaces.msg.Time(sec=5, nanosec=152000000),
